,x,y
98,304,-79.1787137311301
99,307,-79.1787137311301
100,310,-79.1787137311301
101,313,-79.1787137311301
102,316,-79.1787137311301
103,319,-79.1787137311301
104,322,-79.1787137311301
105,325,-79.1787137311301
106,328,-79.1787137311301
107,331,-79.1787137311301
108,334,-79.1787137311301
109,337,-79.1787137311301
110,340,-79.1787137311301
111,343,-79.1787137311301
112,346,-79.1787137311301
113,349,-79.1787137311301
114,352,-79.1787137311301
115,355,-79.1787137311301
116,358,-79.1787137311301
117,361,-79.1787137311301
118,364,-79.1787137311301
119,367,-79.1787137311301
120,370,-79.1787137311301
121,373,-79.1787137311301
122,376,-79.1787137311301
123,379,-79.1787137311301
124,382,-79.1787137311301
125,385,-79.1787137311301
126,388,-79.1787137311301
127,391,-79.1787137311301
128,394,-79.1787137311301
129,397,-79.1787137311301
130,400,-79.1787137311301
131,403,-79.1787137311301
132,406,-79.1787137311301
133,409,-79.1787137311301
134,412,-79.1787137311301
135,415,-79.1787137311301
136,418,-79.1787137311301
137,421,-79.1787137311301
138,424,-79.1787137311301
139,427,-79.1787137311301
140,430,-79.1787137311301
141,433,-79.1787137311301
142,436,-79.1787137311301
143,439,-79.1787137311301
144,442,-79.1787137311301
145,445,-79.1787137311301
146,448,-79.1787137311301
147,451,-79.1787137311301
148,454,-79.1787137311301
149,457,-79.1787137311301
150,460,-79.1787137311301
151,463,-79.1787137311301
152,466,-79.1787137311301
153,469,-79.1787137311301
154,472,-79.1787137311301
155,475,-79.1787137311301
156,478,-79.1787137311301
157,481,-79.1787137311301
158,484,-79.1787137311301
159,487,-79.1787137311301
160,490,-79.1787137311301
161,493,-79.1787137311301
162,496,-79.1787137311301
163,499,-79.1787137311301
164,502,-79.1787137311301
165,505,-79.1787137311301
166,508,-79.1787137311301
167,511,-79.1787137311301
168,514,-79.1787137311301
169,517,-79.1787137311301
170,520,-79.1787137311301
171,523,-79.1787137311301
172,526,-79.1787137311301
173,529,-79.1787137311301
174,532,-79.1787137311301
175,535,-79.1787137311301
176,538,-79.1787137311301
177,541,-79.1787137311301
178,544,-79.1787137311301
179,547,-79.1787137311301
180,550,-79.1787137311301
181,553,-79.1787137311301
182,556,-79.1787137311301
183,559,-79.1787137311301
184,562,-79.1787137311301
185,565,-79.1787137311301
186,568,-79.1787137311301
187,571,-79.1787137311301
188,574,-79.1787137311301
189,577,-79.1787137311301
190,580,-79.1787137311301
191,583,-79.1787137311301
192,586,-79.1787137311301
193,589,-79.1787137311301
194,592,-79.1787137311301
195,595,-79.1787137311301
196,598,-79.1787137311301
197,601,-79.1787137311301
198,604,-79.1787137311301
199,607,-79.1787137311301
200,610,-79.1787137311301
201,613,-79.1787137311301
202,616,-79.1787137311301
203,619,-79.1787137311301
204,622,-79.1787137311301
205,625,-79.1787137311301
206,628,-79.1787137311301
207,631,-79.1787137311301
208,634,-79.1787137311301
209,637,-79.1787137311301
210,640,-79.1787137311301
211,643,-79.1787137311301
212,646,-79.1787137311301
213,649,-79.1787137311301
214,652,-79.1787137311301
215,655,-79.1787137311301
216,658,-79.1787137311301
217,661,-79.1787137311301
218,664,-79.1787137311301
219,667,-79.1787137311301
220,670,-79.1787137311301
221,673,-79.1787137311301
222,676,-79.1787137311301
223,679,-79.1787137311301
224,682,-79.1787137311301
225,685,-79.1787137311301
226,688,-79.1787137311301
227,691,-79.1787137311301
228,694,-79.1787137311301
229,697,-79.1787137311301
230,700,-79.1787137311301
231,703,-79.1787137311301
232,706,-79.1787137311301
233,709,-79.1787137311301
234,712,-79.1787137311301
235,715,-79.1787137311301
236,718,-79.1787137311301
237,721,-79.1787137311301
238,724,-79.1787137311301
239,727,-79.1787137311301
240,730,-79.1787137311301
241,733,-79.1787137311301
242,736,-79.1787137311301
243,739,-79.1787137311301
244,742,-79.1787137311301
245,745,-79.1787137311301
246,748,-79.1787137311301
247,751,-79.1787137311301
248,754,-79.1787137311301
249,757,-79.1787137311301
250,760,-79.1787137311301
251,763,-79.1787137311301
252,766,-79.1787137311301
253,769,-79.1787137311301
254,772,-79.1787137311301
255,775,-79.1787137311301
256,778,-79.1787137311301
257,781,-79.1787137311301
258,784,-79.1787137311301
259,787,-79.1787137311301
260,790,-79.1787137311301
261,793,-79.1787137311301
262,796,-79.1787137311301
263,799,-79.1787137311301
264,802,-79.1787137311301
265,805,-79.1787137311301
266,808,-79.1787137311301
267,811,-79.1787137311301
268,814,-79.1787137311301
269,817,-79.1787137311301
270,820,-79.1787137311301
271,823,-79.1787137311301
272,826,-79.1787137311301
273,829,-79.1787137311301
274,832,-79.1787137311301
275,835,-79.1787137311301
276,838,-79.1787137311301
277,841,-79.1787137311301
278,844,-79.1787137311301
279,847,-79.1787137311301
280,850,-79.1787137311301
281,853,-79.1787137311301
282,856,-79.1787137311301
283,859,-79.1787137311301
284,862,-79.1787137311301
285,865,-79.1787137311301
286,868,-79.1787137311301
287,871,-79.1787137311301
288,874,-79.1787137311301
289,877,-79.1787137311301
290,880,-79.1787137311301
291,883,-79.1787137311301
292,886,-79.1787137311301
293,889,-79.1787137311301
294,892,-79.1787137311301
295,895,-79.1787137311301
296,898,-79.1787137311301
297,901,-79.1787137311301
298,904,-79.1787137311301
299,907,-79.1787137311301
300,910,-79.1787137311301
301,913,-79.1787137311301
302,916,-79.1787137311301
303,919,-79.1787137311301
304,922,-79.1787137311301
305,925,-79.1787137311301
306,928,-79.1787137311301
307,931,-79.1787137311301
308,934,-79.1787137311301
309,937,-79.1787137311301
310,940,-79.1787137311301
311,943,-79.1787137311301
312,946,-79.1787137311301
313,949,-79.1787137311301
314,952,-79.1787137311301
315,955,-79.1787137311301
316,958,-79.1787137311301
317,961,-79.1787137311301
318,964,-79.1787137311301
319,967,-54.62214751128783
320,970,-54.62214751128783
321,973,-54.62214751128783
322,976,-54.62214751128783
323,979,-54.62214751128783
324,982,-54.62214751128783
325,985,-54.62214751128783
326,988,-54.62214751128783
327,991,-54.62214751128783
328,994,-54.62214751128783
329,997,-54.62214751128783
330,1000,-54.62214751128783
