,x,y
221,673,-9.609045339415875
222,676,-9.609045339415875
223,679,-9.609045339415875
224,682,-9.609045339415875
225,685,-9.609045339415875
226,688,-9.609045339415875
227,691,-9.609045339415875
228,694,-9.609045339415875
229,697,-9.609045339415875
230,700,-9.609045339415875
231,703,-9.609045339415875
232,706,-9.609045339415875
233,709,-9.609045339415875
234,712,-9.609045339415875
235,715,-9.609045339415875
236,718,-9.609045339415875
237,721,-9.609045339415875
238,724,-9.609045339415875
239,727,-9.609045339415875
240,730,-9.609045339415875
241,733,-9.609045339415875
242,736,-9.609045339415875
243,739,-9.609045339415875
244,742,-9.609045339415875
245,745,-9.609045339415875
246,748,-9.609045339415875
247,751,-9.609045339415875
248,754,-9.609045339415875
249,757,-9.609045339415875
250,760,-9.609045339415875
251,763,-9.609045339415875
252,766,-9.609045339415875
253,769,-9.609045339415875
254,772,-9.609045339415875
255,775,-9.609045339415875
256,778,-9.609045339415875
257,781,-9.609045339415875
258,784,-9.609045339415875
259,787,-9.609045339415875
260,790,-9.609045339415875
261,793,-9.609045339415875
262,796,-9.609045339415875
263,799,-9.609045339415875
264,802,-9.609045339415875
265,805,-9.609045339415875
266,808,-9.609045339415875
267,811,-9.609045339415875
268,814,-9.609045339415875
269,817,-9.609045339415875
270,820,-9.609045339415875
271,823,-9.609045339415875
272,826,-9.609045339415875
273,829,-9.609045339415875
274,832,-9.609045339415875
275,835,-9.609045339415875
276,838,-9.609045339415875
277,841,-9.609045339415875
278,844,-9.609045339415875
279,847,-9.609045339415875
280,850,-9.609045339415875
281,853,-9.609045339415875
282,856,-9.609045339415875
283,859,-9.609045339415875
284,862,-9.609045339415875
285,865,-9.609045339415875
286,868,-9.609045339415875
287,871,-9.609045339415875
288,874,-6.9110139452742985
289,877,-6.9110139452742985
290,880,-6.9110139452742985
291,883,-6.9110139452742985
292,886,-6.9110139452742985
293,889,-6.9110139452742985
294,892,-6.9110139452742985
295,895,-6.9110139452742985
296,898,-6.9110139452742985
297,901,-6.9110139452742985
298,904,-6.9110139452742985
299,907,-6.9110139452742985
300,910,-6.9110139452742985
301,913,-6.9110139452742985
302,916,-6.9110139452742985
303,919,-6.9110139452742985
304,922,-6.9110139452742985
305,925,-6.9110139452742985
306,928,-6.9110139452742985
307,931,-6.9110139452742985
308,934,-6.9110139452742985
309,937,-6.9110139452742985
310,940,-6.9110139452742985
311,943,-6.9110139452742985
312,946,-6.9110139452742985
313,949,-6.617037386745903
314,952,-6.617037386745903
315,955,-6.617037386745903
